stop_id,stop_name,stop_lat,stop_lon,stop_code,stop_desc,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,stop_timezone,vehicle_type,platform_code,level_id,mta_stop_id,regional_fare_card,tts_stop_name
4739,"2-ieji Dusinėnai",54.560190,25.278542,,,4739,"https://www.visimarsrutai.lt/#/stop/result?stopId=4739",,,,,,,,,,
4744,Skynimai,54.751732,25.666721,,,4744,"https://www.visimarsrutai.lt/#/stop/result?stopId=4744",,,,,,,,,,
4748,Padvarninkai,54.610183,25.590953,,,4748,"https://www.visimarsrutai.lt/#/stop/result?stopId=4748",,,,,,,,,,
4750,Krikščioniškės,54.879508,25.464995,,,4750,"https://www.visimarsrutai.lt/#/stop/result?stopId=4750",,,,,,,,,,
4751,Lyta,54.698120,25.493317,,,4751,"https://www.visimarsrutai.lt/#/stop/result?stopId=4751",,,,,,,,,,
4758,Jokūnbonys,55.004086,25.366600,,,4758,"https://www.visimarsrutai.lt/#/stop/result?stopId=4758",,,,,,,,,,
4759,Pakryžė,54.907886,25.480021,,,4759,"https://www.visimarsrutai.lt/#/stop/result?stopId=4759",,,,,,,,,,
4760,Guopstos,54.561089,25.033397,,,4760,"https://www.visimarsrutai.lt/#/stop/result?stopId=4760",,,,,,,,,,
4762,Bendorėliai,54.788411,25.194700,,,4762,"https://www.visimarsrutai.lt/#/stop/result?stopId=4762",,,,,,,,,,
4770,"2-oji Nemenčinė",54.834659,25.483522,,,4770,"https://www.visimarsrutai.lt/#/stop/result?stopId=4770",,,,,,,,,,
4773,Minkeliai,54.947637,25.489826,,,4773,"https://www.visimarsrutai.lt/#/stop/result?stopId=4773",,,,,,,,,,
4778,Baliniai,54.855530,25.620384,,,4778,"https://www.visimarsrutai.lt/#/stop/result?stopId=4778",,,,,,,,,,
4779,Nemėžis,54.640483,25.356399,,,4779,"https://www.visimarsrutai.lt/#/stop/result?stopId=4779",,,,,,,,,,
4780,"Smalos gamykla",54.720268,25.657410,,,4780,"https://www.visimarsrutai.lt/#/stop/result?stopId=4780",,,,,,,,,,
4782,Šventininkai,54.583020,25.062615,,,4782,"https://www.visimarsrutai.lt/#/stop/result?stopId=4782",,,,,,,,,,
4783,Barvoniškės,54.582731,25.741941,,,4783,"https://www.visimarsrutai.lt/#/stop/result?stopId=4783",,,,,,,,,,
4784,Gudoniškės,54.923651,25.366839,,,4784,"https://www.visimarsrutai.lt/#/stop/result?stopId=4784",,,,,,,,,,
4785,"2-osios Putiniškės",54.803929,25.145183,,,4785,"https://www.visimarsrutai.lt/#/stop/result?stopId=4785",,,,,,,,,,
4787,Žitniškės,54.805578,25.686428,,,4787,"https://www.visimarsrutai.lt/#/stop/result?stopId=4787",,,,,,,,,,
4793,Danilava,54.990850,25.566610,,,4793,"https://www.visimarsrutai.lt/#/stop/result?stopId=4793",,,,,,,,,,
4794,Pilviškės,54.828457,25.702621,,,4794,"https://www.visimarsrutai.lt/#/stop/result?stopId=4794",,,,,,,,,,
